year,count,count_log,count_sqrt
1845,3,1.3862943611198906,1.7320508075688772
1846,7,2.0794415416798357,2.6457513110645907
1847,5,1.791759469228055,2.236067977
1848,4,1.6094379124341003,2
1849,3,1.3862943611198906,1.7320508075688772
1850,8,2.1972245773362196,2.8284271247461903
1851,3,1.3862943611198906,1.7320508075688772
1852,8,2.1972245773362196,2.8284271247461903
1853,5,1.791759469228055,2.236067977
1854,9,2.302585092994046,3
1855,9,2.302585092994046,3
1856,6,1.9459101490553132,2.449489742783178
1857,10,2.3978952727983707,3.1622776601683795
1858,8,2.1972245773362196,2.8284271247461903
1859,5,1.791759469228055,2.236067977
1860,11,2.4849066497880004,3.31662479
1861,6,1.9459101490553132,2.449489742783178
1862,3,1.3862943611198906,1.7320508075688772
1863,15,2.772588722239781,3.872983346207417
1864,4,1.6094379124341003,2
1865,8,2.1972245773362196,2.8284271247461903
1866,12,2.5649493574615367,3.4641016151377544
1867,8,2.1972245773362196,2.8284271247461903
1868,16,2.833213344056216,4
1869,12,2.5649493574615367,3.4641016151377544
1870,6,1.9459101490553132,2.449489742783178
1871,7,2.0794415416798357,2.6457513110645907
1872,6,1.9459101490553132,2.449489742783178
1873,10,2.3978952727983707,3.1622776601683795
1874,6,1.9459101490553132,2.449489742783178
1875,13,2.6390573296152584,3.605551275463989
1876,9,2.302585092994046,3
1877,9,2.302585092994046,3
1878,9,2.302585092994046,3
1879,14,2.708050201,3.7416573867739413
1880,15,2.772588722239781,3.872983346207417
1881,10,2.3978952727983707,3.1622776601683795
1882,9,2.302585092994046,3
1883,10,2.3978952727983707,3.1622776601683795
1884,11,2.4849066497880004,3.31662479
1885,7,2.0794415416798357,2.6457513110645907
1886,10,2.3978952727983707,3.1622776601683795
1887,21,3.091042453358316,4.582575695
1888,15,2.772588722239781,3.872983346207417
1889,15,2.772588722239781,3.872983346207417
1890,20,3.044522437723423,4.472135955
1891,10,2.3978952727983707,3.1622776601683795
1892,11,2.4849066497880004,3.31662479
1893,12,2.5649493574615367,3.4641016151377544
1894,10,2.3978952727983707,3.1622776601683795
1895,10,2.3978952727983707,3.1622776601683795
1896,10,2.3978952727983707,3.1622776601683795
1897,12,2.5649493574615367,3.4641016151377544
1898,17,2.8903717578961645,4.123105625617661
1899,14,2.708050201,3.7416573867739413
1900,17,2.8903717578961645,4.123105625617661
1901,10,2.3978952727983707,3.1622776601683795
1902,12,2.5649493574615367,3.4641016151377544
1903,22,3.1354942159291497,4.69041576
1904,11,2.4849066497880004,3.31662479
1905,14,2.708050201,3.7416573867739413
1906,13,2.6390573296152584,3.605551275463989
1907,16,2.833213344056216,4
1908,13,2.6390573296152584,3.605551275463989
1909,11,2.4849066497880004,3.31662479
1910,20,3.044522437723423,4.472135955
1911,12,2.5649493574615367,3.4641016151377544
1912,12,2.5649493574615367,3.4641016151377544
1913,11,2.4849066497880004,3.31662479
1914,18,2.9444389791664403,4.242640687119285
1915,13,2.6390573296152584,3.605551275463989
1916,20,3.044522437723423,4.472135955
1917,19,2.995732273553991,4.358898943540674
1918,15,2.772588722239781,3.872983346207417
1919,14,2.708050201,3.7416573867739413
1920,14,2.708050201,3.7416573867739413
1921,18,2.9444389791664403,4.242640687119285
1922,15,2.772588722239781,3.872983346207417
1923,16,2.833213344056216,4
1924,18,2.9444389791664403,4.242640687119285
1925,18,2.9444389791664403,4.242640687119285
1926,13,2.6390573296152584,3.605551275463989
1927,16,2.833213344056216,4
1928,16,2.833213344056216,4
1929,15,2.772588722239781,3.872983346207417
1930,20,3.044522437723423,4.472135955
1931,22,3.1354942159291497,4.69041576
1932,25,3.258096538021482,5
1933,30,3.4339872044851463,5.477225575051661
1934,27,3.332204510175204,5.196152422706632
1935,19,2.995732273553991,4.358898943540674
1936,35,3.583518938,5.916079783099616
1938,45,3.828641396489095,6.708203932499369
1939,32,3.4965075614664802,5.656854249492381
1940,37,3.6375861597263857,6.082762530298219
1941,23,3.1780538303479458,4.795831523312719
1942,20,3.044522437723423,4.472135955
1943,10,2.3978952727983707,3.1622776601683795
1944,20,3.044522437723423,4.472135955
1945,11,2.4849066497880004,3.31662479
1946,13,2.6390573296152584,3.605551275463989
1947,19,2.995732273553991,4.358898943540674
1948,20,3.044522437723423,4.472135955
1949,23,3.1780538303479458,4.795831523312719
1950,40,3.713572066704308,6.324555320336759
1951,20,3.044522437723423,4.472135955
1952,18,2.9444389791664403,4.242640687119285
1953,9,2.302585092994046,3
1954,22,3.1354942159291497,4.69041576
1955,24,3.2188758248682006,4.898979485566356
1956,27,3.332204510175204,5.196152422706632
1957,18,2.9444389791664403,4.242640687119285
1958,18,2.9444389791664403,4.242640687119285
1959,16,2.833213344056216,4
1960,30,3.4339872044851463,5.477225575051661
1961,27,3.332204510175204,5.196152422706632
1962,36,3.6109179126442243,6
1963,34,3.5553480614894135,5.830951894845301
1964,33,3.5263605246161616,5.744562646538029
1965,50,3.9318256327243257,7.0710678118654755
1966,26,3.295836866004329,5.0990195135927845
1967,37,3.6375861597263857,6.082762530298219
1970,48,3.8918202981106265,6.928203230275509
1971,49,3.912023005428146,7
1972,32,3.4965075614664802,5.656854249492381
1973,31,3.4657359027997265,5.5677643628300215
1976,52,3.970291913552122,7.211102550927978
2013,11,2.4849066497880004,3.31662479
